答案ID,提交时间,答题耗时,若您已确认上述内容并无异议，请选择下方“开始作答”并点击【下一页】进行本次问卷作答。[A:开始作答B:放弃参与（结束作答）],请问您计划参与测试的设备平台是？[A:PC端B:安卓端],请问您计划本次参与测试会使用安卓手机设备品牌是？[A:华为B:vivoC:OPPOD:小米E:荣耀F:一加G:红米H:iQOOI:三星J:魅族K: 其他，请填写：],请问您将用于本次测试的手机处理器属于以下哪一个选项?[A:骁龙865/天玑9000/麒麟9000及以下（如：小米10/华为Mate 40 Pro等）B: 骁龙870/888/Gen1/Gen2或天玑9200（如：小米13/红米K60 Pro等）C:骁龙8Gen3/天玑9300（如红米K80/iQOO Neo10/一加ACE5等）D:骁龙8Elite/天玑9400及以上(如：小米15/红米K80 Pro/一加Ace5Pro等)E:不清楚具体配置，请填写手机品牌和型号： ],请问您的手机运行内存(RAM)为？[A:4GB及以下B:6GBC:8GBD:12GBE:16GB及以上F:不清楚],请问您能够参与本次测试的PC设备的系统版本是？[A:Windows 10 - 32 位B:Windows 10 - 64 位C:Windows 11D:其他 Windows 系统E:其他操作系统],请选择您在测试中将会使用的PC设备的处理器（CPU）型号,请选择您在测试中将会使用的PC设备的显卡型号,您近半年内主要使用哪些设备玩游戏?[A:手机/平板电脑B:笔记本电脑/台式电脑C:家用主机（如Switch、PS、Xbox等）D:以上都没有],以下手机游戏类型中，您曾深入体验过的有哪些? [A:MOBA类（如王者荣耀、英雄联盟手游等）B:模拟经营类（如桃园深处有人家、心动小镇、我的花园世界等）C:卡牌RPG类（如崩坏：星穹铁道、重返未来：1999、明日方舟、阴阳师等）D:动作类（如绝区零、崩坏3、战双帕弥什等）E:战棋类（如梦幻模拟战、天地劫：幽城再临等）F:自走棋类（如金铲铲之战、多多自走棋等）G:休闲放置类（如剑与远征、杖剑传说等）H:SLG类（如三国志战略版、三国谋定天下、三国：冰河时代等）I:开放世界类（如原神、鸣潮、异环等）J:沙盒类（如我的世界、迷你世界等）K:休闲益智类（如开心消消乐、梦幻家园等）L:射击类（如三角洲行动、逆战：未来等）M:即时制MMORPG（如逆水寒手游、天涯明月刀手游等）N:回合制MMORPG（如梦幻西游、问道等）O:横版动作类（如火影忍者手游、DNF手游、归龙潮等）P:Roguelike类（如重生细胞、土豆兄弟等）Q:其他，请补充 _________________R: 以上都没有],以下手机游戏产品中，您曾深入体验过的有哪些? [A:重生细胞B:忍者必须死系列C:苍翼：混沌效应D:影之刃3E:时空猎人系列F:心渊梦境G:霓虹深渊H:艾希I:火影忍者手游J:归龙潮K:地下城与勇士：起源L:造梦西游系列M:以上都没有],以下PC/主机游戏类型中，您最近三个月玩的最多的是？[A:MOBA(如英雄联盟、DOTA2等)B:集换式卡牌类(如炉石传说、万智牌、游戏王:大师决斗等)C:模拟经营类(如沙石镇时光、星露谷物语、露玛岛、双点博物馆等)D:战争策略类(如帝国时代、魔兽争霸、文明系列等)E:MMORPG类(如逆水寒、最终幻想14、魔兽世界等)F:合作/派对类(如双人成行、糖豆人、猛兽派对等)G:沙盒建造/生存类(如幻兽帕鲁、我的世界、七日世界、RUST、饥荒等)H:射击类(如CSGO、无畏契约、守望先锋、Apex、PUBG、三角洲行动等)I:动作RPG(如只狼、黑暗之魂系列、艾尔登法环、怪物猎人系列等）J:开放世界类(如塞尔达传说系列、刺客信条系列、GTA5、巫师3等)K:平台动作/银河恶魔城类（如奥日、艾希、暗影火炬城等）L:JRPG类（如碧蓝幻想relink、最终幻想系列等）M:视觉小说/文字冒险类(如命运石之门、隐形守护者、底特律:变人等）N:其他，请补充 _________________O:以上都没有],请问您主要是被《绿梦：时空之声》的哪些方面吸引，进而参与本次蚀梦测试的?[A:动作战斗玩法B:美术风格C:有感兴趣的喜欢的角色D:游戏热度高E:喜欢尝试新游戏F:剧情世界观G:游戏类型（动作类）H:游戏类型（射击类）I:朋友、UP主推荐J:其他原因，请补充]
GameCenter_202606093681956,2026-06-09 08:36:01,207,A,A，B,F,D,E,C,AMD Ryzen7 9800x3d,5080,B,,,A，H,B，C
GameCenter_202606092744949,2026-06-09 08:32:45,123,A,A，B,B,C,D,C,i5 ,4090ti,A，B,A，C，D，I，L,B，E，G，J,A，B，H，I，J,A，B，C
GameCenter_202606093438940,2026-06-09 08:27:39,63,A,B,F,D,E,,,,A,A，C，D，I，L,C，I，J,,A，E，F
GameCenter_202606098308932,2026-06-09 08:24:49,78,A,B,D,D,E,,,,A，B,A，I，L，O,C，E，H，I，J,H，L,A，B，E
GameCenter_202606097247919,2026-06-09 08:19:38,78,A,B,G,B,E,,,,A,C，D，I，M，O,A，B，K,,A，E，G
GameCenter_202606098201886,2026-06-09 08:06:45,95,A,A，B,B,D,E,C,i5 12400f,6650xt,B,,,A,A，B，G
GameCenter_202606092017880,2026-06-09 08:02:36,73,A,A,,,,A,大多数,www,A,A,A,,B
GameCenter_202606094419870,2026-06-09 07:58:32,84,A,B,C,D,E,,,,A,B，C，K,B，D,,A，B，E
GameCenter_202606094005857,2026-06-09 07:54:31,91,A,A，B,C,D,C,B,9600x,4060,B,,,A，H,C
GameCenter_202606098905848,2026-06-09 07:46:31,93,A,B,A,A,D,,,,A，B,A，C，D，I，O,A，C，H，I，L,I，L,A，G
GameCenter_202606096866843,2026-06-09 07:45:06,456,A,A，B,D,D,E,C,i9,5090,A,A，B，C，D，E,A，B，F，I，L,,A，C，F
GameCenter_202606096627824,2026-06-09 07:34:38,70,A,B,H,C,E,,,,A,C，D，I，J，L,C，H,,A，C，E
GameCenter_202606092530814,2026-06-09 07:30:46,65,A,B,C,D,E,,,,A，B，C,A，C，D，I，O,G，H,B，C，D，E，F,A，C，D
GameCenter_202606097373795,2026-06-09 07:15:23,387,A,A，B,H,C,D,C,Intel 酷睿i7 9750H,RTX 2060,A，B,A，C，D，I，L,A，D，J，L,A，F，H，J,E
GameCenter_202606095456789,2026-06-09 07:09:56,141,A,B,G,E，红米k40,E,,,,A,C，J，O,M,,D，E，F
GameCenter_202606092385788,2026-06-09 07:09:54,237,A,A，B,D,D,E,C,AMD 锐龙9 8945HX,RTX 5060,A，B,A，C，D，I,A，C，H,I，J，K,A，B，E
GameCenter_202606098703783,2026-06-09 07:05:22,52,A,B,G,D,E,,,,A，B,C，D,A，G,C，G，J,A，B，C
GameCenter_202606094898782,2026-06-09 07:05:04,132,A,B,D,D,D,,,,A，B,A，D,K,A，E,A，C，E
GameCenter_202606099802777,2026-06-09 07:03:29,143,A,B,G,D,E,,,,A，B,A，D，I，L，M,A，C，H，J,A，E，H，I,A，B，E
GameCenter_202606097865767,2026-06-09 06:56:45,79,A,B,A,B,C,,,,A,A，C，H，I，K,M,,A，E，F
GameCenter_202606097801755,2026-06-09 06:41:00,613,A,A，B,B,E，2.2Ghz天玑930八核,D,A,xeon-e5,AMD  Radeon  RX 5700  XT,A，B,A，C，D，L，O,C，G，I,B，H,A，C，E
GameCenter_202606097192752,2026-06-09 06:39:44,112,A,B,C,A,D,,,,A,A，F,E，J,,A，B
GameCenter_202606091885747,2026-06-09 06:35:57,203,A,A，B,D,D,E,C,AMD9800X3D,RTX5070,A，C,A，C，I，L，O,B，E，I，J，L,A，H，I,B，C，E
GameCenter_202606094597744,2026-06-09 06:33:37,70,A,B,A,A,C,,,,A,C,C,,A，B
GameCenter_202606096580738,2026-06-09 06:27:41,65,A,B,C,C,E,,,,A,A，B，C，D，I,C，I,,A，B，C
GameCenter_202606096994736,2026-06-09 06:22:13,67,A,B,C,E，oppoA58,F,,,,A,C，D，I，L,A，C，G，H，L,,B，C，E
GameCenter_202606097798721,2026-06-09 06:11:05,140,A,A,,,,B,i79700,2070,B,,,I,A，B
GameCenter_202606093800720,2026-06-09 06:08:34,125,A,A，B,D,D,E,C,i7 11800h,RTX 3070,A，B,C，D，I，J，L,K,D，G，H，J,E
GameCenter_202606099440716,2026-06-09 06:05:33,126,A,B,B,E,E,,,,A,L,B，I,,A，B，C
GameCenter_202606096723707,2026-06-09 05:53:55,1438,A,A，B,A,E，HUAWEI P30,C,C,Intel Celeron 3865U,Intel HD Graphics 610,A，B,B，C，D，I，J,M,B，G，J,A，B，F
GameCenter_202606093384702,2026-06-09 05:45:52,65,A,B,H,B,D,,,,D,,,,I
GameCenter_202606091838701,2026-06-09 05:44:21,97,A,A,,,,B,AMD Ryzen 7 9700x,GeForce RTX 5070,B,,,G,B，C，F
GameCenter_202606096409684,2026-06-09 05:16:40,186,A,A，B,D,C,E,B,intel Core i5-14600kf,5060,A，B,A，C，D，I，L,C，H，J,A，F，J,A，B，E
GameCenter_202606094918683,2026-06-09 05:15:05,116,A,B,C,C,F,,,,A,C，I，L,E,,B，E
GameCenter_202606092911673,2026-06-09 04:55:11,141,A,B,H,A,E,,,,A，B,A，D，I，O，P,A，C，I，J，K,I，J，K，L,A，B，G
GameCenter_202606094698665,2026-06-09 04:45:01,56,A,B,H,C,D,,,,A,C，D,C，I,,A，B，C
GameCenter_202606096844658,2026-06-09 04:31:40,91,A,B,B,C,C,,,,A，B,A，D,I，L,H，K,A，C，G
GameCenter_202606094341648,2026-06-09 04:18:53,82,A,B,B,A,C,,,,A,A，I，L,M,,E，F
GameCenter_202606098035636,2026-06-09 03:59:10,89,A,B,G,C,E,,,,A，B,C，D，F，I，J,A，C，G,E，J,A，B
GameCenter_202606096432630,2026-06-09 03:52:19,133,A,B,E,C,D,,,,A，B,C，D，G，I,M,E，K，L,A，B
GameCenter_202606093783629,2026-06-09 03:52:14,79,A,B,H,D,E,,,,A,A，I,M,,E
GameCenter_202606095889625,2026-06-09 03:43:50,71,A,B,K，努比亚,D,E,,,,A,A，C，D，I，O,B，D，H，I，J,,A，E，G
GameCenter_202606096533622,2026-06-09 03:37:50,118,A,B,H,B,E,,,,A，B,A，C，D，I，L,C，E，H，I，J,F，G，H，I，L,A，E，G
GameCenter_202606092364615,2026-06-09 03:28:59,70,A,B,B,E，vivo X 300s,E,,,,A,Q,J,,A
GameCenter_202606097696613,2026-06-09 03:27:20,119,A,B,D,C,D,,,,A,A，B，C，D,I，K,,A，C，F
GameCenter_202606093131610,2026-06-09 03:21:57,76,A,B,A,E，华为nove13,E,,,,A,A，C，I，J，Q,B，J,,B，C
GameCenter_202606094375608,2026-06-09 03:21:25,86,A,B,F,A,E,,,,A,A，C，D，I，J,B，C，H,,A，B，C
GameCenter_202606093664576,2026-06-09 02:51:38,72,A,B,C,D,D,,,,A,D,A，C，H,,A，B
GameCenter_202606097297560,2026-06-09 02:40:49,115,A,B,H,D,D,,,,A，B,C，D，I，K，L,B，I，J，K,E，H，I，J,A，B，C
GameCenter_202606099909559,2026-06-09 02:40:44,86,A,B,A,A,C,,,,A,I,B，C,,A
GameCenter_202606098577549,2026-06-09 02:36:48,195,A,B,K，SONY,B,D,,,,A,A，L，O，P,A，I,,A，B，C
GameCenter_202606093940548,2026-06-09 02:36:40,164,A,A，B,G,B,E,C,13th Gen Intel(R) Core(TM) i9-13900HX,NVIDIA GeForce RTX 4060 Laptop GPU ,A，B,A，C，D，O,A，E，I，K,I，J,A，C，J，喜欢你们送的实物福利
GameCenter_202606094176510,2026-06-09 02:13:59,89,A,B,K，红魔,D,D,,,,A,A，C，F，L，P,A，B，G，J，L,,A，E
GameCenter_202606097036497,2026-06-09 02:07:19,292,A,A,,,,C,Intel Core Ultra7 255HX,RTX 5070ti,B,,,G，H，J,A，E
GameCenter_202606096528452,2026-06-09 01:42:48,424,A,A，B,F,C,E,C,AMD 9850X3D,RTX5080,A，B,C，D，I，O,C，D，E，J，K,A，D，H，I,A，C，G
GameCenter_202606093681450,2026-06-09 01:41:28,76,A,A,,,,C,十三代i7,5070,B,,,I，J，K，L,A，B，E
GameCenter_202606095017446,2026-06-09 01:39:41,259,A,A，B,F,C,E,C,AMD Ryzen 7 4800H,NVIDIA GeForce GTX 1650,A，B,A，C，J，P,C，E，H,A，I，K，L，M,A，G，J，全女
GameCenter_202606099068425,2026-06-09 01:33:11,244,A,A，B,E,E，荣耀100,E,C,英特尔酷睿 i7-14650HX (16核24线程),英伟达 RTX 5060 (8GB GDDR7 显存)
​,A，B,A，C，D,M,A，C，I,A，B
GameCenter_202606095088423,2026-06-09 01:33:01,78,A,A，B,H,A,E,C,9800x3d,rtx5090,A，B,A，D，I,C，F，H,G，L,A，C，G
GameCenter_202606097676420,2026-06-09 01:32:48,210,A,A，B,C,D,E,C,AMD Ryzen 7 5800H,RTX 3060,A，B,A，C，D，I，P,A，B，H，L,A，B，H，I，J,A，B，E
GameCenter_202606091745409,2026-06-09 01:29:22,57,A,B,H,D,E,,,,A,A，D，F，I，O,C，I,,A，B，E
GameCenter_202606096762408,2026-06-09 01:29:14,232,A,B,E,E，magic 7,E,,,,A,C，E，I,M,,A，B
GameCenter_202606092974403,2026-06-09 01:27:51,167,A,A，B,C,B,C,C,i714650hx,n卡5070ti,A，B,I,H,A，G，I，J，K,C，E
GameCenter_202606094530387,2026-06-09 01:23:46,79,A,B,B,D,E,,,,A，B,B,A,A，C，D,B
GameCenter_202606098328333,2026-06-09 01:07:48,34,A,A,,,,B,i7,4070,B,,,D，H,A，B
GameCenter_202606097578318,2026-06-09 01:02:34,107,A,B,A,A,C,,,,A,A，D，I，P,A,,C，D，E
GameCenter_202606098459312,2026-06-09 01:01:36,127,A,A，B,K，红魔,C,D,C,i7, 4070,A，B,C，D，I,H,A，D，H,A
GameCenter_202606091907263,2026-06-09 00:48:29,334,A,A，B,D,B,E,C,intel i7-13700KF,RTX4070TIS,A，B,D，I,H,C，G，I，L,A，B，E
GameCenter_202606096438217,2026-06-09 00:37:57,122,A,A，B,B,D,E,C,i9-13900,rtx4060,A，B，C,A，D，I，J，L,A，D，I，J，L,A，H，I，J，K,A，B，C
GameCenter_202606093684202,2026-06-09 00:34:45,155,A,A，B,K，真我,B,E,C,13代i7,4060,A，B,A，C，I,M,A,B
GameCenter_202606093171180,2026-06-09 00:30:25,125,A,A，B,H,D,E,C,i5-12490f,4070ti,A，B，C,A，D，F，G，I,M,A，C，G，H，J,A，B，C
GameCenter_202606094270160,2026-06-09 00:25:41,57,A,B,G,B,D,,,,A,A，C，F，I，O,A，B，H，J,,A，C，E
GameCenter_202606092921150,2026-06-09 00:22:23,67,A,B,K，红魔,E，红魔7,D,,,,A,A，C，D，F，L,M,,B，C，E
GameCenter_202606095156144,2026-06-09 00:20:32,116,A,A,,,,B,i5-12400f,3060tiG6X,A，B,A，C，D，F，I,C，D，E，G，H,A，I，J，K，L,A，B，E
GameCenter_202606097310142,2026-06-09 00:19:59,49,A,B,B,C,D,,,,A,A，C，D，F，I,B，E，I，J，L,,A，B，C
GameCenter_202606096689139,2026-06-09 00:19:02,148,A,A,,,,C,I7-14700K,RTX4070ti super,A，B,C，D，I,M,I，J，L，M,B，E
GameCenter_202606094400128,2026-06-09 00:17:37,554,A,A,,,,C,AMD Ryzen 7 8845H w/Radeon 780M Graphics ,NVIDIA GeForce RTX 4060 Laptop GPU,B,,,E，G，H，I，K,A，B，G
GameCenter_202606091645100,2026-06-09 00:12:28,111,A,B,H,D,E,,,,A，B,D，I，J，L，O,E，G，H，I，J,E，F，G，H，J,A，B，E
GameCenter_20260609609330,2026-06-09 00:03:50,64,A,A,,,,C,275hx  u9,5060 laptop,A，B,D，I,M,H，I，J,A，B，D
GameCenter_20260609304225,2026-06-09 00:03:12,59,A,B,A,A,D,,,,A,A，C，D，I，L,C,,E
GameCenter_2026060941497,2026-06-09 00:00:38,48,A,B,B,A,C,,,,A,A，B，D,A，C，H，I，L,,A，B
GameCenter_2026060982484,2026-06-09 00:00:24,55,A,A,,,,C,14600kf,4070s,B,,,A，B，D，E，H,A，B，C
GameCenter_2026060821699653,2026-06-08 23:58:20,157,A,A，B,F,B,E,C,i7 13700kf,4070ti super,A，B,A，D，H，I，L,A，C，F，G，I,G，H，I，J，K,A，C，E
GameCenter_2026060864799645,2026-06-08 23:57:21,143,A,A，B,H,C,E,C,9850X,4070,B,,,H，J，L,B，C，E
GameCenter_2026060850939642,2026-06-08 23:56:32,190,A,B,B,C,E,,,,A,C，D，I，L,C,,A，B，G
GameCenter_2026060893569547,2026-06-08 23:44:55,50,A,B,B,E，vivos20,C,,,,A,A，B,E，H，I,,A，B
GameCenter_2026060856189545,2026-06-08 23:44:34,162,A,B,E,D,E,,,,A，B,A，C，D，F，I,C,B，D，F，K,A，E，I
GameCenter_2026060821519539,2026-06-08 23:43:41,30,A,B,A,D,B,,,,A,C，I，P,A，J,,A，C，D
GameCenter_2026060877949524,2026-06-08 23:41:09,192,A,A,,,,C,intel i7-12700,4060ti,B,,,A，H，I，K,C，E，G
GameCenter_2026060881039475,2026-06-08 23:36:16,259,A,A，B,D,E，小米17promax,E,C,Inter Core i5-13400F,GeForce RTX 4060 Ti 8GB,A，B,A，C，D,B，G，H,A，K,A，B，C
GameCenter_2026060829799453,2026-06-08 23:32:21,83,A,A，B,C,A,E,C,i7,n卡4070,A，B,A，D，M，N，O,F，G，I，J，L,A，F，H，I，J,B，C，E
GameCenter_2026060860219449,2026-06-08 23:32:07,66,A,B,A,C,E,,,,A,C，D，I，L,M,,B，E
GameCenter_2026060845119447,2026-06-08 23:32:05,33,A,A,,,,B,i7-13700k,4070ti,B,,,E，G,C
GameCenter_2026060827959397,2026-06-08 23:25:58,127,A,B,K，麦芒305G,D,E,,,,A,A，B，C，D，L,A,,A
GameCenter_2026060817219395,2026-06-08 23:25:41,124,A,B,G,C,E,,,,A，C,A，C，D，F，I,A，B，C，G，H,I，J,B，C
GameCenter_2026060896219342,2026-06-08 23:18:32,127,A,A，B,K，真我GT ,C,E,C,i7,4060 ,B,,,H,E
GameCenter_2026060846019316,2026-06-08 23:13:47,61,A,B,B,B,C,,,,A,C，D,M,,A，B，F
GameCenter_2026060885519308,2026-06-08 23:12:27,89,A,B,E,E,E,,,,A,A，C，J，L,M,,A
GameCenter_2026060812759275,2026-06-08 23:09:02,71,A,B,C,B,D,,,,A,J,H,,B
GameCenter_2026060883869267,2026-06-08 23:07:38,244,A,A，B,D,C,E,C,i7-12650H,NVIDIA RTX3050Ti,A，B,A，I，L，M,E，K,E,A，C，E
GameCenter_2026060887989259,2026-06-08 23:06:26,104,A,B,H,C,D,,,,A,D，J，K，L，N,C，G，H，I,,E
GameCenter_2026060889789232,2026-06-08 23:03:04,64,A,B,B,D,E,,,,A，B,A，D，G，I，L,B，E，G，H,A，H，I,B，C，E
GameCenter_2026060817259223,2026-06-08 23:01:59,330,A,A,,,,B,AMD锐龙5,3060,B,,,I，K,E，G
GameCenter_2026060845949205,2026-06-08 23:00:00,184,A,A，B,D,D,E,C,i5,4060,A，B,C，D，G，H，I,A，C,C，D，I,E，G
GameCenter_2026060873859202,2026-06-08 22:59:31,400,A,A，B,G,B,B,C,i5-12900,RTX2060,A，B,D，G，I,M,E，H，N,B，E，G
GameCenter_2026060890939176,2026-06-08 22:56:23,42,A,B,B,B,E,,,,A,A，C，D,C，E，K,,A，B，G
GameCenter_2026060848579165,2026-06-08 22:54:21,55,A,B,G,D,D,,,,A,D，I，J，L，O,A，B，I,,A，B，E
GameCenter_2026060885899155,2026-06-08 22:52:43,101,A,A，B,H,C,E,C,cpu是7500f，玩啥游戏都无压力,显卡7800xt玩啥游戏无压力,B,,,O,B，E
GameCenter_2026060835329139,2026-06-08 22:50:20,57,A,B,A,D,B,,,,A,C，I，P,A，J,,C，D，G
GameCenter_2026060823739090,2026-06-08 22:44:34,47,A,A,,,,B,5800x3d,RTX3060,B,,,A，B，C，D，E,B，D，F
GameCenter_2026060865439087,2026-06-08 22:43:49,57,A,B,C,C,D,,,,A,A，C，D，F，I,A，B，C，L,,B，E，G
GameCenter_2026060838929065,2026-06-08 22:41:25,74,A,B,B,C,E,,,,A，B,C，D，F,A，B，I,D,E
GameCenter_2026060847259052,2026-06-08 22:39:37,123,A,A,,,,C,core 17-14500,4060,B,,,N,A，B，C
GameCenter_2026060864079049,2026-06-08 22:39:09,222,A,A,,,,C,Intel Core i5–12490F,NVIDIA GeForce RTX 4070,A，B,C，D，I，J，L,M,G，H，J,A，B，E
